id,comment,comment_type,persist_date,last_redaction_date,user_id
1718,Test comment POST 89,1,2020-12-02 15:36:04.429175,2020-12-02 15:36:04.429177,63
1719,Test comment POST 90,1,2020-12-02 15:36:04.429265,2020-12-02 15:36:04.429267,12
1720,Test comment POST 91,1,2020-12-02 15:36:04.429371,2020-12-02 15:36:04.429374,102
1721,Test comment POST 92,1,2020-12-02 15:36:04.429474,2020-12-02 15:36:04.429476,96
1722,Test comment POST 93,1,2020-12-02 15:36:04.429565,2020-12-02 15:36:04.429567,32
1723,Test comment POST 94,1,2020-12-02 15:36:04.429662,2020-12-02 15:36:04.429664,63
1724,Test comment POST 95,1,2020-12-02 15:36:04.429755,2020-12-02 15:36:04.429757,93
1725,Test comment POST 96,1,2020-12-02 15:36:04.429845,2020-12-02 15:36:04.429847,36
1726,Test comment POST 97,1,2020-12-02 15:36:04.429935,2020-12-02 15:36:04.429938,103
1727,Test comment POST 98,1,2020-12-02 15:36:04.430026,2020-12-02 15:36:04.430028,57
1728,Test comment POST 99,1,2020-12-02 15:36:04.430116,2020-12-02 15:36:04.430118,12
2029,Test comment MEDIA 0,0,2020-12-02 15:36:04.432221,2020-12-02 15:36:04.432227,102
2030,Test comment MEDIA 1,0,2020-12-02 15:36:04.432385,2020-12-02 15:36:04.432387,46
2031,Test comment MEDIA 2,0,2020-12-02 15:36:04.432476,2020-12-02 15:36:04.432478,88
2032,Test comment MEDIA 3,0,2020-12-02 15:36:04.432565,2020-12-02 15:36:04.432568,35
2033,Test comment MEDIA 4,0,2020-12-02 15:36:04.432654,2020-12-02 15:36:04.432656,41
2034,Test comment MEDIA 5,0,2020-12-02 15:36:04.432744,2020-12-02 15:36:04.432747,56
2035,Test comment MEDIA 6,0,2020-12-02 15:36:04.432864,2020-12-02 15:36:04.432866,101
2036,Test comment MEDIA 7,0,2020-12-02 15:36:04.432959,2020-12-02 15:36:04.432961,71
2037,Test comment MEDIA 8,0,2020-12-02 15:36:04.433049,2020-12-02 15:36:04.433051,80
2038,Test comment MEDIA 9,0,2020-12-02 15:36:04.433138,2020-12-02 15:36:04.43314,87
2039,Test comment MEDIA 10,0,2020-12-02 15:36:04.433227,2020-12-02 15:36:04.433229,56
2040,Test comment MEDIA 11,0,2020-12-02 15:36:04.433315,2020-12-02 15:36:04.433317,92
2041,Test comment MEDIA 12,0,2020-12-02 15:36:04.433404,2020-12-02 15:36:04.433406,97
2042,Test comment MEDIA 13,0,2020-12-02 15:36:04.433502,2020-12-02 15:36:04.433504,46
2043,Test comment MEDIA 14,0,2020-12-02 15:36:04.43359,2020-12-02 15:36:04.433592,24
2044,Test comment MEDIA 15,0,2020-12-02 15:36:04.433696,2020-12-02 15:36:04.433698,30
2045,Test comment MEDIA 16,0,2020-12-02 15:36:04.433786,2020-12-02 15:36:04.433788,50
2046,Test comment MEDIA 17,0,2020-12-02 15:36:04.433875,2020-12-02 15:36:04.433877,47
2047,Test comment MEDIA 18,0,2020-12-02 15:36:04.433964,2020-12-02 15:36:04.433966,85
2048,Test comment MEDIA 19,0,2020-12-02 15:36:04.434053,2020-12-02 15:36:04.434055,39
2049,Test comment MEDIA 20,0,2020-12-02 15:36:04.43597,2020-12-02 15:36:04.435976,27
2050,Test comment MEDIA 21,0,2020-12-02 15:36:04.436218,2020-12-02 15:36:04.436221,75
2051,Test comment MEDIA 22,0,2020-12-02 15:36:04.436325,2020-12-02 15:36:04.436327,25
2052,Test comment MEDIA 23,0,2020-12-02 15:36:04.43643,2020-12-02 15:36:04.436433,36
2053,Test comment MEDIA 24,0,2020-12-02 15:36:04.436542,2020-12-02 15:36:04.436544,29
2054,Test comment MEDIA 25,0,2020-12-02 15:36:04.436645,2020-12-02 15:36:04.436647,38
2055,Test comment MEDIA 26,0,2020-12-02 15:36:04.436746,2020-12-02 15:36:04.436748,89
2056,Test comment MEDIA 27,0,2020-12-02 15:36:04.436846,2020-12-02 15:36:04.436848,83
2057,Test comment MEDIA 28,0,2020-12-02 15:36:04.436953,2020-12-02 15:36:04.436955,68
2058,Test comment MEDIA 29,0,2020-12-02 15:36:04.437055,2020-12-02 15:36:04.437057,74
2059,Test comment MEDIA 30,0,2020-12-02 15:36:04.437154,2020-12-02 15:36:04.437156,22
2060,Test comment MEDIA 31,0,2020-12-02 15:36:04.437254,2020-12-02 15:36:04.437256,76
2061,Test comment MEDIA 32,0,2020-12-02 15:36:04.437353,2020-12-02 15:36:04.437355,21
2062,Test comment MEDIA 33,0,2020-12-02 15:36:04.437452,2020-12-02 15:36:04.437453,63
2063,Test comment MEDIA 34,0,2020-12-02 15:36:04.437551,2020-12-02 15:36:04.437553,16
2064,Test comment MEDIA 35,0,2020-12-02 15:36:04.437649,2020-12-02 15:36:04.437652,21
2065,Test comment MEDIA 36,0,2020-12-02 15:36:04.437748,2020-12-02 15:36:04.43775,46
2066,Test comment MEDIA 37,0,2020-12-02 15:36:04.437847,2020-12-02 15:36:04.437849,72
2067,Test comment MEDIA 38,0,2020-12-02 15:36:04.437948,2020-12-02 15:36:04.43795,30
2068,Test comment MEDIA 39,0,2020-12-02 15:36:04.438047,2020-12-02 15:36:04.438049,13
2069,Test comment MEDIA 40,0,2020-12-02 15:36:04.439831,2020-12-02 15:36:04.439836,81
2070,Test comment MEDIA 41,0,2020-12-02 15:36:04.44001,2020-12-02 15:36:04.440012,35
2071,Test comment MEDIA 42,0,2020-12-02 15:36:04.440145,2020-12-02 15:36:04.440147,47
2072,Test comment MEDIA 43,0,2020-12-02 15:36:04.440256,2020-12-02 15:36:04.440259,65
2073,Test comment MEDIA 44,0,2020-12-02 15:36:04.440353,2020-12-02 15:36:04.440355,67
2074,Test comment MEDIA 45,0,2020-12-02 15:36:04.440447,2020-12-02 15:36:04.440449,31
2075,Test comment MEDIA 46,0,2020-12-02 15:36:04.440541,2020-12-02 15:36:04.440544,5
2076,Test comment MEDIA 47,0,2020-12-02 15:36:04.440636,2020-12-02 15:36:04.440638,30
2077,Test comment MEDIA 48,0,2020-12-02 15:36:04.440735,2020-12-02 15:36:04.440737,59
2078,Test comment MEDIA 49,0,2020-12-02 15:36:04.440836,2020-12-02 15:36:04.440838,39
2079,Test comment MEDIA 50,0,2020-12-02 15:36:04.440931,2020-12-02 15:36:04.440933,103
2080,Test comment MEDIA 51,0,2020-12-02 15:36:04.441025,2020-12-02 15:36:04.441027,26
2081,Test comment MEDIA 52,0,2020-12-02 15:36:04.441121,2020-12-02 15:36:04.441123,34
2082,Test comment MEDIA 53,0,2020-12-02 15:36:04.441215,2020-12-02 15:36:04.441217,51
2083,Test comment MEDIA 54,0,2020-12-02 15:36:04.441309,2020-12-02 15:36:04.441311,39
2084,Test comment MEDIA 55,0,2020-12-02 15:36:04.441403,2020-12-02 15:36:04.441405,63
2085,Test comment MEDIA 56,0,2020-12-02 15:36:04.441497,2020-12-02 15:36:04.441499,94
2086,Test comment MEDIA 57,0,2020-12-02 15:36:04.441591,2020-12-02 15:36:04.441593,95
2087,Test comment MEDIA 58,0,2020-12-02 15:36:04.441684,2020-12-02 15:36:04.441686,101
2088,Test comment MEDIA 59,0,2020-12-02 15:36:04.441777,2020-12-02 15:36:04.441779,10
2089,Test comment MEDIA 60,0,2020-12-02 15:36:04.443518,2020-12-02 15:36:04.443521,28
2090,Test comment MEDIA 61,0,2020-12-02 15:36:04.44364,2020-12-02 15:36:04.443643,97
2091,Test comment MEDIA 62,0,2020-12-02 15:36:04.443736,2020-12-02 15:36:04.443738,79
2092,Test comment MEDIA 63,0,2020-12-02 15:36:04.44383,2020-12-02 15:36:04.443833,73
2093,Test comment MEDIA 64,0,2020-12-02 15:36:04.443924,2020-12-02 15:36:04.443927,92
2094,Test comment MEDIA 65,0,2020-12-02 15:36:04.444019,2020-12-02 15:36:04.444021,66
2095,Test comment MEDIA 66,0,2020-12-02 15:36:04.444134,2020-12-02 15:36:04.444137,20
2096,Test comment MEDIA 67,0,2020-12-02 15:36:04.444272,2020-12-02 15:36:04.444274,66
2097,Test comment MEDIA 68,0,2020-12-02 15:36:04.444379,2020-12-02 15:36:04.444382,101
2098,Test comment MEDIA 69,0,2020-12-02 15:36:04.444492,2020-12-02 15:36:04.444495,106
2099,Test comment MEDIA 70,0,2020-12-02 15:36:04.444595,2020-12-02 15:36:04.444597,41
2100,Test comment MEDIA 71,0,2020-12-02 15:36:04.444679,2020-12-02 15:36:04.444681,91
2101,Test comment MEDIA 72,0,2020-12-02 15:36:04.444761,2020-12-02 15:36:04.444763,53
2102,Test comment MEDIA 73,0,2020-12-02 15:36:04.444843,2020-12-02 15:36:04.444845,66
2103,Test comment MEDIA 74,0,2020-12-02 15:36:04.444923,2020-12-02 15:36:04.444925,10
2104,Test comment MEDIA 75,0,2020-12-02 15:36:04.445005,2020-12-02 15:36:04.445007,55
2105,Test comment MEDIA 76,0,2020-12-02 15:36:04.445086,2020-12-02 15:36:04.445088,37
2106,Test comment MEDIA 77,0,2020-12-02 15:36:04.445167,2020-12-02 15:36:04.445169,105
2107,Test comment MEDIA 78,0,2020-12-02 15:36:04.445248,2020-12-02 15:36:04.445251,59
2108,Test comment MEDIA 79,0,2020-12-02 15:36:04.44533,2020-12-02 15:36:04.445332,10
2109,Test comment MEDIA 80,0,2020-12-02 15:36:04.447295,2020-12-02 15:36:04.4473,80
2110,Test comment MEDIA 81,0,2020-12-02 15:36:04.447419,2020-12-02 15:36:04.447422,10
2111,Test comment MEDIA 82,0,2020-12-02 15:36:04.447502,2020-12-02 15:36:04.447504,19
2112,Test comment MEDIA 83,0,2020-12-02 15:36:04.447584,2020-12-02 15:36:04.447586,71
2113,Test comment MEDIA 84,0,2020-12-02 15:36:04.44769,2020-12-02 15:36:04.447692,36
2114,Test comment MEDIA 85,0,2020-12-02 15:36:04.447787,2020-12-02 15:36:04.447789,9
2115,Test comment MEDIA 86,0,2020-12-02 15:36:04.447881,2020-12-02 15:36:04.447883,72
2116,Test comment MEDIA 87,0,2020-12-02 15:36:04.447975,2020-12-02 15:36:04.447977,56
2117,Test comment MEDIA 88,0,2020-12-02 15:36:04.448085,2020-12-02 15:36:04.448087,37
2118,Test comment MEDIA 89,0,2020-12-02 15:36:04.44818,2020-12-02 15:36:04.448182,67
2119,Test comment MEDIA 90,0,2020-12-02 15:36:04.448274,2020-12-02 15:36:04.448276,59
2120,Test comment MEDIA 91,0,2020-12-02 15:36:04.448368,2020-12-02 15:36:04.44837,70
2121,Test comment MEDIA 92,0,2020-12-02 15:36:04.448476,2020-12-02 15:36:04.448479,48
2122,Test comment MEDIA 93,0,2020-12-02 15:36:04.448573,2020-12-02 15:36:04.448576,41
2123,Test comment MEDIA 94,0,2020-12-02 15:36:04.44867,2020-12-02 15:36:04.448673,97
2124,Test comment MEDIA 95,0,2020-12-02 15:36:04.448765,2020-12-02 15:36:04.448767,92
2125,Test comment MEDIA 96,0,2020-12-02 15:36:04.448859,2020-12-02 15:36:04.448861,92
2126,Test comment MEDIA 97,0,2020-12-02 15:36:04.448953,2020-12-02 15:36:04.448955,58
2127,Test comment MEDIA 98,0,2020-12-02 15:36:04.449046,2020-12-02 15:36:04.449048,87
2128,Test comment MEDIA 99,0,2020-12-02 15:36:04.449141,2020-12-02 15:36:04.449143,69
